id,from,to,points_json
-1009561552,9315001436,9315001435,"[{""lat"": 72.85732052970695, ""lon"": 19.10950022962385}, {""lat"": 72.85717011071894, ""lon"": 19.10941908181714}]"
-1009561553,9315001442,9315001437,"[{""lat"": 72.85787663218592, ""lon"": 19.10837627574595}, {""lat"": 72.85789605433024, ""lon"": 19.108439729902912}, {""lat"": 72.8579238537809, ""lon"": 19.10851674011708}, {""lat"": 72.85796379671707, ""lon"": 19.108617376390484}, {""lat"": 72.85799264010382, ""lon"": 19.108650229409832}, {""lat"": 72.85808582656277, ""lon"": 19.10868202478716}]"
-1009561554,9315001445,9315001443,"[{""lat"": 72.85290041349703, ""lon"": 19.107601011359034}, {""lat"": 72.85291273701384, ""lon"": 19.1077651864508}, {""lat"": 72.85294200815355, ""lon"": 19.108206407270682}]"
-102523714#0,3797889427,1184132895,"[{""lat"": 72.86529482416623, ""lon"": 19.11990805789747}, {""lat"": 72.86535253510148, ""lon"": 19.12027572255214}]"
-102523714#1,6626363584,3797889427,"[{""lat"": 72.86520879377404, ""lon"": 19.1193703418484}, {""lat"": 72.86526558238229, ""lon"": 19.119721014507203}, {""lat"": 72.86527471442419, ""lon"": 19.119779471142472}]"
-102523714#2,cluster_1184089996_5936572210,6626363584,"[{""lat"": 72.86497653277515, ""lon"": 19.117936248706503}, {""lat"": 72.86518721958656, ""lon"": 19.119237402440774}]"
-102523714#4,1184084004,cluster_1184089996_5936572210,"[{""lat"": 72.86475908587043, ""lon"": 19.116140661666538}, {""lat"": 72.86495849252475, ""lon"": 19.117824125301947}]"
-102531477#0,cluster_1184132892_9694187776,9901775155,"[{""lat"": 72.86422695217732, ""lon"": 19.122462185772157}, {""lat"": 72.86434131284433, ""lon"": 19.12244427428786}, {""lat"": 72.86443961986748, ""lon"": 19.122403685147702}, {""lat"": 72.86462952009568, ""lon"": 19.12209805886168}, {""lat"": 72.86475524285338, ""lon"": 19.122024186530503}, {""lat"": 72.86501221022431, ""lon"": 19.121956986197116}, {""lat"": 72.86522443196009, ""lon"": 19.121977514717678}, {""lat"": 72.86561201315284, ""lon"": 19.122025279029724}, {""lat"": 72.86626792865998, ""lon"": 19.122134506365814}, {""lat"": 72.86659967189571, ""lon"": 19.122312503425203}, {""lat"": 72.86688894642211, ""lon"": 19.122467606517493}, {""lat"": 72.86716755934775, ""lon"": 19.122542737239566}, {""lat"": 72.86742330874497, ""lon"": 19.12257045219827}, {""lat"": 72.8677305046332, ""lon"": 19.122580607689166}, {""lat"": 72.86823109684114, ""lon"": 19.122560306266543}, {""lat"": 72.86853640407021, ""lon"": 19.12253250150814}, {""lat"": 72.8690293960003, ""lon"": 19.12248239247428}, {""lat"": 72.86914790516593, ""lon"": 19.12235586353933}, {""lat"": 72.86930612502982, ""lon"": 19.12210424104701}, {""lat"": 72.86949089251394, ""lon"": 19.122050017804277}, {""lat"": 72.8697359660482, ""lon"": 19.122028378023664}, {""lat"": 72.87064062993554, ""lon"": 19.122014917263733}, {""lat"": 72.87073613980685, ""lon"": 19.121992267152457}]"
-102532301#0,1184455372,1184134145,"[{""lat"": 72.86128716061637, ""lon"": 19.12102670856546}, {""lat"": 72.86134536191535, ""lon"": 19.121252206457363}]"
-102532301#1,6490967172,1184455372,"[{""lat"": 72.86121823973023, ""lon"": 19.120755471441377}, {""lat"": 72.86128643304629, ""lon"": 19.121024170980476}]"
-102532301#2,3797889445,6490967172,"[{""lat"": 72.86110847131947, ""lon"": 19.120335444205114}, {""lat"": 72.86118547187603, ""lon"": 19.120628634167407}]"
-102532301#3,10920910871,3797889445,"[{""lat"": 72.8609784556374, ""lon"": 19.119871644406157}, {""lat"": 72.8611077460788, ""lon"": 19.12033272599505}]"
-102532301#4,6552496914,10920910871,"[{""lat"": 72.86091030954418, ""lon"": 19.119628868886572}, {""lat"": 72.8609784556374, ""lon"": 19.119871644406157}]"
-102532301#5,11050304350,6552496914,"[{""lat"": 72.86081463698821, ""lon"": 19.119287679326327}, {""lat"": 72.86091030954418, ""lon"": 19.119628868886572}]"
-102532301#6,1184134481,11050304350,"[{""lat"": 72.86062400993588, ""lon"": 19.118608650533325}, {""lat"": 72.86081463698821, ""lon"": 19.119287679326327}]"
-102564638#1,10920875574,cluster_13055592466_245674121,"[{""lat"": 72.86111929090042, ""lon"": 19.125578083627047}, {""lat"": 72.86116994527102, ""lon"": 19.125873135047808}]"
-102564638#2,9171777412,10920875574,"[{""lat"": 72.86094649542517, ""lon"": 19.124539584701747}, {""lat"": 72.86100354532967, ""lon"": 19.124788102393577}, {""lat"": 72.86106143537339, ""lon"": 19.125170673411226}, {""lat"": 72.86111678868744, ""lon"": 19.12553623365564}, {""lat"": 72.86111912063242, ""lon"": 19.125576546107236}]"
-102564638#3,1184446486,9171777412,"[{""lat"": 72.86055499331147, ""lon"": 19.12317978174713}, {""lat"": 72.86063725159727, ""lon"": 19.123404114432915}, {""lat"": 72.86071789364085, ""lon"": 19.123680185006542}, {""lat"": 72.86085103863827, ""lon"": 19.124151970091614}, {""lat"": 72.86088448603093, ""lon"": 19.124270324695313}, {""lat"": 72.86091724760003, ""lon"": 19.124412427017297}]"
-102564638#4,10687992413,1184446486,"[{""lat"": 72.86016424281488, ""lon"": 19.122625422537112}, {""lat"": 72.86048676981845, ""lon"": 19.123053706169898}]"
-102564638#5,2242610506,10687992413,"[{""lat"": 72.85997591915323, ""lon"": 19.12238739066017}, {""lat"": 72.86008387426214, ""lon"": 19.122520070812943}]"
-102564638#6,3803784050,2242610506,"[{""lat"": 72.85953089242223, ""lon"": 19.12128114044843}, {""lat"": 72.85970200934159, ""lon"": 19.121829422251853}, {""lat"": 72.85982521709099, ""lon"": 19.122223953901482}, {""lat"": 72.85987819914655, ""lon"": 19.122279036871678}]"
-102565700#0,1754945273,cluster_1184471965_12330293703,"[{""lat"": 72.8634929142008, ""lon"": 19.12607835131387}, {""lat"": 72.86321637698272, ""lon"": 19.125656838792615}]"
-102565700#1,1651800499,1754945273,"[{""lat"": 72.86520859605312, ""lon"": 19.128949056060375}, {""lat"": 72.86493202698479, ""lon"": 19.128529351607423}, {""lat"": 72.8646026092099, ""lon"": 19.128251025561987}, {""lat"": 72.86426447760105, ""lon"": 19.127704419975764}, {""lat"": 72.86394353726357, ""lon"": 19.126774399235927}, {""lat"": 72.86385323632229, ""lon"": 19.126665139760487}, {""lat"": 72.86356369887004, ""lon"": 19.12619027461944}]"
-102565700#2,10945914412,1651800499,"[{""lat"": 72.8654273620697, ""lon"": 19.129318861472644}, {""lat"": 72.86527851618732, ""lon"": 19.129061872100305}]"
-102565700#3,1184498924,10945914412,"[{""lat"": 72.8656947954444, ""lon"": 19.129739723883905}, {""lat"": 72.8655740670354, ""lon"": 19.129572393515357}, {""lat"": 72.8654273620697, ""lon"": 19.129318861472644}]"
